,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,1,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,2,3.0,18.785222291797123
2020-09-21,0,2.0,12.523481527864746
2020-09-23,0,2.0,12.523481527864746
2020-09-26,0,2.0,12.523481527864746
2020-09-27,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,4.0,25.046963055729492
2020-10-06,0,4.0,25.046963055729492
2020-10-07,0,4.0,25.046963055729492
2020-10-11,4,5.0,31.308703819661865
2020-10-12,0,7.0,43.83218534752661
2020-10-14,0,9.0,56.35566687539136
2020-10-15,1,14.0,87.66437069505322
2020-10-16,2,13.0,81.40262993112086
2020-10-17,2,24.0,150.28177833437698
2020-10-26,5,34.0,212.8991859737007
2020-11-02,3,42.0,262.9931120851597
2020-11-09,11,51.0,319.34877896055104
2020-11-10,10,60.0,375.7044458359424
2020-11-16,9,61.0,381.9661865998748
2020-11-17,11,68.0,425.7983719474014
2020-11-18,11,77.0,482.1540388227927
2020-11-19,6,75.0,469.63055729492794
2020-11-20,10,76.0,475.8922980588604
2020-11-21,20,86.0,538.5097056981841
2020-11-22,8,78.0,488.41577958672514
2020-11-23,10,84.0,525.9862241703194
2020-11-24,21,85.0,532.2479649342517
2020-11-25,3,69.0,432.0601127113338
2020-11-27,12,73.0,457.1070757670633
2020-11-28,11,77.0,482.1540388227927
2020-11-29,4,56.0,350.6574827802129
2020-11-30,12,58.0,363.18096430807765
2020-12-01,14,59.0,369.44270507201
2020-12-02,0,49.0,306.8252974326863
2020-12-05,5,54.0,338.1340012523481
2020-12-07,13,63.0,394.48966812773955
2020-12-11,1,56.0,350.6574827802129
2020-12-12,9,60.0,375.7044458359424
2020-12-13,21,60.0,375.7044458359424
2020-12-15,7,54.0,338.1340012523481
2020-12-16,4,53.0,331.87226048841575
2020-12-17,5,51.0,319.34877896055104
2020-12-18,7,31.0,194.11396368190356
2020-12-19,0,35.0,219.16092673763305
2020-12-20,7,38.0,237.9461490294302
2020-12-22,1,43.0,269.25485284909206
2020-12-24,11,36.0,225.42266750156543
2020-12-25,7,40.0,250.46963055729492
2020-12-27,10,42.0,262.9931120851597
2020-12-29,0,45.0,281.77833437695676
2020-12-31,4,38.0,237.9461490294302
2021-01-01,9,37.0,231.6844082654978
2021-01-02,4,31.0,194.11396368190356
2021-01-03,4,35.0,219.16092673763305
2021-01-04,6,35.0,219.16092673763305
2021-01-05,4,37.0,231.6844082654978
2021-01-08,4,42.0,262.9931120851597
2021-01-09,4,43.0,269.25485284909206
2021-01-10,11,37.0,231.6844082654978
2021-01-11,9,40.0,250.46963055729492
2021-01-12,5,51.0,319.34877896055104
2021-01-13,0,59.0,369.44270507201
2021-01-14,7,53.0,331.87226048841575
2021-01-15,15,49.0,306.8252974326863
2021-01-16,12,49.0,306.8252974326863
2021-01-17,5,50.0,313.08703819661866
2021-01-18,5,51.0,319.34877896055104
2021-01-19,5,42.0,262.9931120851597
2021-01-20,1,36.0,225.42266750156543
2021-01-21,8,31.0,194.11396368190356
2021-01-22,6,36.0,225.42266750156543
2021-01-23,6,37.0,231.6844082654978
2021-01-24,0,36.0,225.42266750156543
2021-01-25,10,28.0,175.32874139010644
2021-01-26,6,30.0,187.8522229179712
2021-01-27,0,27.0,169.06700062617406
2021-01-28,0,30.0,187.8522229179712
2021-01-29,8,34.0,212.8991859737007
2021-01-30,3,34.0,212.8991859737007
2021-01-31,3,35.0,219.16092673763305
2021-02-01,14,47.0,294.3018159048215
2021-02-02,6,53.0,331.87226048841575
2021-02-03,1,64.0,400.7514088916719
2021-02-04,12,67.0,419.536631183469
2021-02-05,14,63.0,394.48966812773955
2021-02-06,14,69.0,432.0601127113338
2021-02-07,6,69.0,432.0601127113338
2021-02-08,10,59.0,369.44270507201
2021-02-09,12,53.0,331.87226048841575
2021-02-10,1,55.0,344.3957420162805
2021-02-11,2,64.0,400.7514088916719
2021-02-12,8,75.0,469.63055729492794
2021-02-13,16,75.0,469.63055729492794
2021-02-14,15,77.0,482.1540388227927
2021-02-15,21,86.0,538.5097056981841
2021-02-16,12,98.0,613.6505948653726
2021-02-17,3,93.0,582.3418910457107
2021-02-18,11,86.0,538.5097056981841
2021-02-19,20,88.0,551.0331872260488
2021-02-20,11,99.0,619.912335629305
2021-02-21,8,97.0,607.3888541014402
2021-02-22,23,100.0,626.1740763932373
2021-02-23,23,105.0,657.4827802128992
2021-02-24,1,106.0,663.7445209768315
2021-02-25,14,117.0,732.6236693800877
2021-02-26,25,105.0,657.4827802128992
2021-02-27,12,97.0,607.3888541014402
2021-02-28,19,,
2021-03-01,11,,
2021-03-02,15,,
