,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,1,1.0,8.858180529719196
2020-09-05,0,1.0,8.858180529719196
2020-09-06,0,1.0,8.858180529719196
2020-09-07,0,1.0,8.858180529719196
2020-09-08,0,1.0,8.858180529719196
2020-09-09,0,1.0,8.858180529719196
2020-09-10,0,1.0,8.858180529719196
2020-09-11,1,1.0,8.858180529719196
2020-09-12,0,1.0,8.858180529719196
2020-09-13,0,1.0,8.858180529719196
2020-09-14,0,3.0,26.574541589157587
2020-09-15,0,2.0,17.71636105943839
2020-09-16,0,2.0,17.71636105943839
2020-09-17,2,2.0,17.71636105943839
2020-09-18,0,2.0,17.71636105943839
2020-09-19,0,2.0,17.71636105943839
2020-09-20,0,2.0,17.71636105943839
2020-09-21,0,1.0,8.858180529719196
2020-09-22,0,1.0,8.858180529719196
2020-09-23,0,1.0,8.858180529719196
2020-09-24,1,1.0,8.858180529719196
2020-09-25,0,1.0,8.858180529719196
2020-09-26,0,1.0,8.858180529719196
2020-09-27,0,1.0,8.858180529719196
2020-09-28,0,0.0,0.0
2020-09-29,0,1.0,8.858180529719196
2020-09-30,0,1.0,8.858180529719196
2020-10-01,0,1.0,8.858180529719196
2020-10-02,1,1.0,8.858180529719196
2020-10-03,0,1.0,8.858180529719196
2020-10-04,0,1.0,8.858180529719196
2020-10-05,0,1.0,8.858180529719196
2020-10-06,0,1.0,8.858180529719196
2020-10-07,0,1.0,8.858180529719196
2020-10-08,0,1.0,8.858180529719196
2020-10-09,1,3.0,26.574541589157587
2020-10-10,0,4.0,35.43272211887678
2020-10-11,0,5.0,44.290902648595974
2020-10-12,2,5.0,44.290902648595974
2020-10-13,1,5.0,44.290902648595974
2020-10-14,1,5.0,44.290902648595974
2020-10-15,0,5.0,44.290902648595974
2020-10-16,1,3.0,26.574541589157587
2020-10-17,0,2.0,17.71636105943839
2020-10-18,0,3.0,26.574541589157587
2020-10-19,0,3.0,26.574541589157587
2020-10-20,0,2.0,17.71636105943839
2020-10-21,2,3.0,26.574541589157587
2020-10-22,0,4.0,35.43272211887678
2020-10-23,0,5.0,44.290902648595974
2020-10-24,1,16.0,141.73088847550713
2020-10-25,1,16.0,141.73088847550713
2020-10-26,1,19.0,168.3054300646647
2020-10-27,11,21.0,186.02179112410312
2020-10-28,2,23.0,203.73815218354153
2020-10-29,3,23.0,203.73815218354153
2020-10-30,2,23.0,203.73815218354153
2020-10-31,3,14.0,124.01452741606874
2020-11-01,1,18.0,159.4472495349455
2020-11-02,1,19.0,168.3054300646647
2020-11-03,2,20.0,177.1636105943839
2020-11-04,6,19.0,168.3054300646647
2020-11-05,4,27.0,239.17087430241827
2020-11-06,3,39.0,345.46904065904863
