,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,1,,
2020-09-02,4,,
2020-09-03,5,,
2020-09-04,4,,
2020-09-05,1,,
2020-09-06,0,,
2020-09-07,0,15.0,20.727106910417444
2020-09-08,7,21.0,29.017949674584422
2020-09-09,3,20.0,27.63614254722326
2020-09-10,8,23.0,31.78156392930675
2020-09-11,1,20.0,27.63614254722326
2020-09-12,4,23.0,31.78156392930675
2020-09-13,2,25.0,34.545178184029076
2020-09-14,1,26.0,35.92698531139023
2020-09-15,4,23.0,31.78156392930675
2020-09-16,2,22.0,30.399756801945582
2020-09-17,1,15.0,20.727106910417444
2020-09-18,4,18.0,24.87252829250093
2020-09-19,3,17.0,23.49072116513977
2020-09-20,0,15.0,20.727106910417444
2020-09-21,3,17.0,23.49072116513977
2020-09-22,0,13.0,17.963492655695116
2020-09-23,1,12.0,16.581685528333953
2020-09-24,3,14.0,19.345299783056284
2020-09-25,4,14.0,19.345299783056284
2020-09-26,6,17.0,23.49072116513977
2020-09-27,1,18.0,24.87252829250093
2020-09-28,2,17.0,23.49072116513977
2020-09-29,2,19.0,26.254335419862098
2020-09-30,0,18.0,24.87252829250093
2020-10-01,0,15.0,20.727106910417444
2020-10-02,2,13.0,17.963492655695116
2020-10-03,1,8.0,11.054457018889304
2020-10-04,0,7.0,9.672649891528142
2020-10-05,2,7.0,9.672649891528142
2020-10-06,0,5.0,6.909035636805815
2020-10-07,0,5.0,6.909035636805815
2020-10-08,3,8.0,11.054457018889304
2020-10-09,2,8.0,11.054457018889304
2020-10-10,4,11.0,15.199878400972791
2020-10-11,3,14.0,19.345299783056284
2020-10-12,3,15.0,20.727106910417444
2020-10-13,1,16.0,22.108914037778607
2020-10-14,2,18.0,24.87252829250093
2020-10-15,1,16.0,22.108914037778607
2020-10-16,2,16.0,22.108914037778607
2020-10-17,16,28.0,38.69059956611257
2020-10-18,6,31.0,42.83602094819605
2020-10-19,9,37.0,51.126863712363026
2020-10-20,2,38.0,52.508670839724196
2020-10-21,8,44.0,60.799513603891164
2020-10-22,5,48.0,66.32674211333581
2020-10-23,6,52.0,71.85397062278047
2020-10-24,9,45.0,62.18132073125233
2020-10-25,4,43.0,59.41770647653001
2020-10-26,13,47.0,64.94493498597465
2020-10-27,14,59.0,81.52662051430862
2020-10-28,22,73.0,100.8719202973649
2020-10-29,20,88.0,121.59902720778233
2020-10-30,69,151.0,208.6528762315356
2020-10-31,36,178.0,245.961668670287
2020-11-01,39,213.0,294.3249181279277
