,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,1,,
2020-09-15,0,,
2020-09-20,1,2.0,7.828095033073701
2020-09-21,0,2.0,7.828095033073701
2020-09-23,0,1.0,3.9140475165368507
2020-09-26,0,1.0,3.9140475165368507
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,1.0,3.9140475165368507
2020-10-09,0,1.0,3.9140475165368507
2020-10-10,0,2.0,7.828095033073701
2020-10-11,1,2.0,7.828095033073701
2020-10-12,0,2.0,7.828095033073701
2020-10-14,1,2.0,7.828095033073701
2020-10-15,0,6.0,23.484285099221104
2020-10-16,0,18.0,70.45285529766332
2020-10-17,0,44.0,172.21809072762142
2020-10-26,4,84.0,328.77999138909547
2020-11-02,13,136.0,532.3104622490117
2020-11-04,26,166.0,649.7318877451173
2020-11-09,41,178.0,696.7004579435595
2020-11-10,52,177.0,692.7864104270226
2020-11-16,30,175.0,684.9583153939489
2020-11-17,12,163.0,637.9897451955067
2020-11-18,3,142.0,555.7947473482328
2020-11-19,11,103.0,403.1468942032957
2020-11-20,14,89.0,348.35022897177976
2020-11-21,20,91.0,356.17832400485344
2020-11-22,13,104.0,407.06094171983244
2020-11-23,16,123.0,481.4278445340326
2020-11-24,14,124.0,485.3418920505695
2020-11-25,16,135.0,528.3964147324748
2020-11-27,30,135.0,528.3964147324748
2020-11-28,15,127.0,497.0840346001801
2020-11-29,31,122.0,477.51379701749585
2020-11-30,13,114.0,446.201416885201
2020-12-01,8,95.0,371.83451407100085
2020-12-02,9,91.0,356.17832400485344
2020-12-03,8,70.0,273.98332615757954
2020-12-04,11,57.0,223.1007084426005
2020-12-05,11,49.0,191.78832831030567
2020-12-07,10,50.0,195.70237582684254
2020-12-08,0,44.0,172.21809072762142
2020-12-09,0,38.0,148.73380562840032
2020-12-10,10,51.0,199.61642334337938
2020-12-11,2,48.0,187.87428079376883
2020-12-12,5,60.0,234.84285099221103
2020-12-13,24,63.0,246.5849935418216
2020-12-14,7,66.0,258.3271360914322
2020-12-15,12,90.0,352.26427648831657
2020-12-16,3,88.0,344.43618145524283
2020-12-17,13,66.0,258.3271360914322
2020-12-18,26,62.0,242.67094602528476
2020-12-19,3,56.0,219.18666092606364
2020-12-20,2,68.0,266.15523112450586
2020-12-22,3,80.0,313.12380132294805
2020-12-23,6,61.0,238.75689850874792
2020-12-24,15,63.0,246.5849935418216
2020-12-25,25,65.0,254.41308857489528
2020-12-27,7,74.0,289.63951622372696
2020-12-29,5,95.0,371.83451407100085
2020-12-30,4,89.0,348.35022897177976
2020-12-31,12,74.0,289.63951622372696
2021-01-01,27,77.0,301.3816587733375
2021-01-02,9,82.0,320.95189635602173
2021-01-03,10,95.0,371.83451407100085
2021-01-04,10,85.0,332.69403890563234
2021-01-05,10,89.0,348.35022897177976
2021-01-08,17,92.0,360.09237152139025
2021-01-09,2,88.0,344.43618145524283
2021-01-10,31,81.0,317.0378488394849
2021-01-11,12,88.0,344.43618145524283
2021-01-12,6,89.0,348.35022897177976
2021-01-13,3,93.0,364.0064190379271
2021-01-14,17,71.0,277.8973736741164
2021-01-15,18,72.0,281.8114211906533
2021-01-16,6,70.0,273.98332615757954
2021-01-17,9,70.0,273.98332615757954
2021-01-18,13,62.0,242.67094602528476
2021-01-19,4,52.0,203.53047085991622
2021-01-20,3,70.0,273.98332615757954
2021-01-21,9,65.0,254.41308857489528
2021-01-22,8,60.0,234.84285099221103
2021-01-23,24,58.0,227.01475595913735
2021-01-24,4,56.0,219.18666092606364
2021-01-25,8,53.0,207.4445183764531
2021-01-26,2,56.0,219.18666092606364
2021-01-27,1,37.0,144.81975811186348
2021-01-28,6,37.0,144.81975811186348
2021-01-29,11,35.0,136.99166307878977
2021-01-30,5,44.0,172.21809072762142
2021-01-31,4,48.0,187.87428079376883
2021-02-01,6,56.0,219.18666092606364
2021-02-02,11,64.0,250.49904105835844
2021-02-03,5,78.0,305.2957062898744
2021-02-04,14,92.0,360.09237152139025
2021-02-05,19,102.0,399.23284668675876
2021-02-06,19,94.0,367.9204665544639
2021-02-07,18,94.0,367.9204665544639
2021-02-08,16,103.0,403.1468942032957
2021-02-09,3,103.0,403.1468942032957
2021-02-10,5,87.0,340.522133938706
2021-02-11,23,81.0,317.0378488394849
2021-02-12,19,81.0,317.0378488394849
2021-02-13,3,82.0,320.95189635602173
2021-02-14,12,78.0,305.2957062898744
2021-02-15,16,71.0,277.8973736741164
2021-02-16,4,71.0,277.8973736741164
2021-02-17,1,92.0,360.09237152139025
2021-02-18,16,91.0,356.17832400485344
2021-02-19,19,96.0,375.74856158753767
2021-02-20,24,107.0,418.80308426944305
2021-02-21,11,109.0,426.6311793025167
2021-02-22,21,118.0,461.8576069513484
2021-02-23,15,126.0,493.1699870836432
2021-02-24,3,127.0,497.0840346001801
2021-02-25,25,139.0,544.0526047986223
2021-02-26,27,158.0,618.4195076128225
2021-02-27,25,152.0,594.9352225136013
2021-02-28,23,,
2021-03-01,40,,
2021-03-02,9,,
