,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,1,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,1.0,5.836008170411438
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-06,0,1.0,5.836008170411438
2020-10-07,0,3.0,17.508024511234318
2020-10-11,0,4.0,23.344032681645754
2020-10-12,1,5.0,29.18004085205719
2020-10-14,2,5.0,29.18004085205719
2020-10-15,1,8.0,46.68806536329151
2020-10-16,1,13.0,75.8681062153487
2020-10-17,0,18.0,105.0481470674059
2020-10-26,3,31.0,180.9162532827546
2020-11-02,5,45.0,262.62036766851475
2020-11-09,6,48.0,280.1283921797491
2020-11-10,15,56.0,326.81645754304054
2020-11-16,15,65.0,379.3405310767435
2020-11-17,4,71.0,414.3565800992122
2020-11-18,8,83.0,484.3886781441494
2020-11-19,12,82.0,478.552669973738
2020-11-20,11,81.0,472.7166618033265
2020-11-21,18,90.0,525.2407353370295
2020-11-22,14,86.0,501.8967026553837
2020-11-23,14,88.0,513.5687189962066
2020-11-24,13,86.0,501.8967026553837
2020-11-25,4,86.0,501.8967026553837
2020-11-27,14,87.0,507.73271082579515
2020-11-28,9,81.0,472.7166618033265
2020-11-29,18,70.0,408.52057192880073
2020-11-30,15,85.0,496.0606944849723
2020-12-01,8,84.0,490.22468631456087
2020-12-02,2,78.0,455.2086372920922
2020-12-05,19,74.0,431.86460461044646
2020-12-07,13,65.0,379.3405310767435
2020-12-11,3,59.0,344.3244820542749
2020-12-12,14,60.0,350.1604902246863
2020-12-13,6,48.0,280.1283921797491
2020-12-15,2,47.0,274.2923840093376
2020-12-16,3,51.0,297.63641669098337
2020-12-17,7,48.0,280.1283921797491
2020-12-18,12,43.0,250.94835132769185
2020-12-19,7,48.0,280.1283921797491
2020-12-20,11,49.0,285.9644003501605
2020-12-22,1,49.0,285.9644003501605
2020-12-24,7,41.0,239.276334986869
2020-12-25,4,46.0,268.45637583892614
2020-12-27,7,44.0,256.7843594981033
2020-12-29,4,50.0,291.8004085205719
2020-12-31,12,47.0,274.2923840093376
2021-01-01,9,47.0,274.2923840093376
2021-01-02,7,43.0,250.94835132769185
2021-01-03,4,40.0,233.4403268164575
2021-01-04,4,39.0,227.6043186460461
2021-01-05,3,33.0,192.58826962357747
2021-01-08,1,38.0,221.76831047563465
2021-01-09,11,34.0,198.4242777939889
2021-01-10,3,31.0,180.9162532827546
2021-01-11,12,30.0,175.08024511234316
2021-01-12,0,35.0,204.26028596440037
2021-01-13,1,31.0,180.9162532827546
2021-01-14,2,31.0,180.9162532827546
2021-01-15,6,22.0,128.39217974905165
2021-01-16,7,25.0,145.90020426028596
2021-01-17,3,25.0,145.90020426028596
2021-01-18,3,26.0,151.7362124306974
2021-01-19,3,24.0,140.06419608987454
2021-01-20,1,20.0,116.72016340822876
2021-01-21,3,23.0,134.22818791946307
2021-01-22,4,22.0,128.39217974905165
2021-01-23,3,19.0,110.88415523781732
2021-01-24,6,20.0,116.72016340822876
2021-01-25,2,22.0,128.39217974905165
2021-01-26,0,21.0,122.55617157864022
2021-01-27,2,19.0,110.88415523781732
2021-01-28,5,17.0,99.21213889699445
2021-01-29,3,16.0,93.37613072658301
2021-01-30,1,16.0,93.37613072658301
2021-01-31,4,16.0,93.37613072658301
2021-02-01,1,15.0,87.54012255617158
2021-02-02,0,13.0,75.8681062153487
2021-02-03,2,13.0,75.8681062153487
2021-02-04,4,11.0,64.19608987452582
2021-02-05,1,10.0,58.36008170411438
2021-02-06,1,16.0,93.37613072658301
2021-02-07,2,18.0,105.0481470674059
2021-02-09,0,18.0,105.0481470674059
2021-02-10,6,21.0,122.55617157864022
2021-02-11,4,24.0,140.06419608987454
2021-02-12,4,33.0,192.58826962357747
2021-02-13,4,35.0,204.26028596440037
2021-02-14,4,31.0,180.9162532827546
2021-02-15,11,32.0,186.75226145316603
2021-02-16,2,37.0,215.93230230522323
2021-02-17,2,39.0,227.6043186460461
2021-02-18,5,47.0,274.2923840093376
2021-02-19,9,46.0,268.45637583892614
2021-02-20,6,58.0,338.48847388386343
2021-02-21,12,61.0,355.9964983950978
2021-02-22,10,69.0,402.6845637583893
2021-02-23,14,71.0,414.3565800992122
2021-02-24,5,86.0,501.8967026553837
2021-02-25,13,89.0,519.404727166618
2021-02-26,11,,
2021-02-27,21,,
2021-02-28,15,,
