,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,1,,
2020-09-02,1,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,1,3.0,17.508024511234318
2020-09-08,0,2.0,11.672016340822877
2020-09-09,0,1.0,5.836008170411438
2020-09-10,0,1.0,5.836008170411438
2020-09-11,0,1.0,5.836008170411438
2020-09-12,0,1.0,5.836008170411438
2020-09-13,1,2.0,11.672016340822877
2020-09-14,0,1.0,5.836008170411438
2020-09-15,0,1.0,5.836008170411438
2020-09-16,1,2.0,11.672016340822877
2020-09-17,0,2.0,11.672016340822877
2020-09-18,0,2.0,11.672016340822877
2020-09-19,0,2.0,11.672016340822877
2020-09-20,0,1.0,5.836008170411438
2020-09-21,0,1.0,5.836008170411438
2020-09-22,0,1.0,5.836008170411438
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,1,1.0,5.836008170411438
2020-10-03,0,1.0,5.836008170411438
2020-10-04,0,1.0,5.836008170411438
2020-10-05,0,1.0,5.836008170411438
2020-10-06,0,1.0,5.836008170411438
2020-10-07,0,1.0,5.836008170411438
2020-10-08,0,1.0,5.836008170411438
2020-10-09,1,1.0,5.836008170411438
2020-10-10,0,1.0,5.836008170411438
2020-10-11,0,1.0,5.836008170411438
2020-10-12,1,2.0,11.672016340822877
2020-10-13,1,3.0,17.508024511234318
2020-10-14,2,5.0,29.18004085205719
2020-10-15,1,6.0,35.016049022468636
2020-10-16,1,6.0,35.016049022468636
2020-10-17,0,6.0,35.016049022468636
2020-10-18,0,6.0,35.016049022468636
2020-10-19,0,5.0,29.18004085205719
2020-10-20,3,7.0,40.85205719288007
2020-10-21,1,6.0,35.016049022468636
2020-10-22,3,8.0,46.68806536329151
2020-10-23,0,7.0,40.85205719288007
2020-10-24,1,8.0,46.68806536329151
2020-10-25,1,9.0,52.52407353370295
2020-10-26,3,12.0,70.03209804493727
2020-10-27,3,12.0,70.03209804493727
2020-10-28,1,12.0,70.03209804493727
2020-10-29,4,13.0,75.8681062153487
2020-10-30,9,22.0,128.39217974905165
2020-10-31,2,23.0,134.22818791946307
2020-11-01,4,26.0,151.7362124306974
2020-11-02,5,28.0,163.40822877152027
2020-11-03,1,26.0,151.7362124306974
2020-11-04,9,34.0,198.4242777939889
2020-11-05,6,36.0,210.0962941348118
2020-11-06,10,37.0,215.93230230522323
2020-11-07,9,44.0,256.7843594981033
2020-11-08,26,66.0,385.17653924715495
2020-11-09,6,67.0,391.01254741756634
2020-11-10,15,81.0,472.7166618033265
2020-11-11,15,87.0,507.73271082579515
2020-11-12,27,108.0,630.2888824044354
2020-11-13,11,109.0,636.1248905748469
2020-11-14,11,111.0,647.7969069156698
2020-11-15,16,101.0,589.4368252115553
2020-11-16,15,110.0,641.9608987452583
2020-11-17,4,99.0,577.7648088707324
2020-11-18,8,92.0,536.9127516778523
2020-11-19,12,77.0,449.37262912168075
2020-11-20,11,77.0,449.37262912168075
2020-11-21,18,84.0,490.22468631456087
2020-11-22,14,82.0,478.552669973738
2020-11-23,14,81.0,472.7166618033265
2020-11-24,13,90.0,525.2407353370295
2020-11-25,4,86.0,501.8967026553837
2020-11-26,8,82.0,478.552669973738
2020-11-27,14,85.0,496.0606944849723
2020-11-28,9,76.0,443.5366209512693
2020-11-29,18,80.0,466.880653632915
2020-11-30,15,81.0,472.7166618033265
2020-12-01,8,76.0,443.5366209512693
2020-12-02,2,74.0,431.86460461044646
2020-12-03,12,78.0,455.2086372920922
2020-12-04,24,88.0,513.5687189962066
2020-12-05,19,98.0,571.928800700321
2020-12-06,6,86.0,501.8967026553837
2020-12-07,13,84.0,490.22468631456087
2020-12-08,9,85.0,496.0606944849723
2020-12-09,4,87.0,507.73271082579515
2020-12-10,7,82.0,478.552669973738
2020-12-11,3,61.0,355.9964983950978
2020-12-12,14,56.0,326.81645754304054
2020-12-13,6,56.0,326.81645754304054
2020-12-14,10,53.0,309.3084330318062
2020-12-15,2,46.0,268.45637583892614
2020-12-16,3,45.0,262.62036766851475
2020-12-17,7,45.0,262.62036766851475
2020-12-18,12,54.0,315.1444412022177
2020-12-19,7,47.0,274.2923840093376
2020-12-20,11,52.0,303.4724248613948
2020-12-21,4,46.0,268.45637583892614
2020-12-22,1,45.0,262.62036766851475
2020-12-23,5,47.0,274.2923840093376
2020-12-24,7,47.0,274.2923840093376
2020-12-25,4,39.0,227.6043186460461
2020-12-26,5,37.0,215.93230230522323
2020-12-27,7,33.0,192.58826962357747
2020-12-28,0,29.0,169.24423694193172
2020-12-29,4,32.0,186.75226145316603
2020-12-30,2,29.0,169.24423694193172
2020-12-31,12,34.0,198.4242777939889
2021-01-01,9,39.0,227.6043186460461
2021-01-02,7,41.0,239.276334986869
2021-01-03,4,38.0,221.76831047563465
2021-01-04,4,42.0,245.11234315728043
2021-01-05,3,41.0,239.276334986869
2021-01-07,5,44.0,256.7843594981033
2021-01-08,1,33.0,192.58826962357747
2021-01-09,11,35.0,204.26028596440037
2021-01-10,3,31.0,180.9162532827546
2021-01-11,12,39.0,227.6043186460461
2021-01-12,0,35.0,204.26028596440037
2021-01-13,1,33.0,192.58826962357747
2021-01-14,2,30.0,175.08024511234316
2021-01-15,6,35.0,204.26028596440037
2021-01-16,7,31.0,180.9162532827546
2021-01-17,3,31.0,180.9162532827546
2021-01-18,3,22.0,128.39217974905165
2021-01-19,3,25.0,145.90020426028596
2021-01-20,1,25.0,145.90020426028596
2021-01-21,3,26.0,151.7362124306974
2021-01-22,4,24.0,140.06419608987454
2021-01-23,3,20.0,116.72016340822876
2021-01-24,6,23.0,134.22818791946307
2021-01-25,2,22.0,128.39217974905165
2021-01-26,0,19.0,110.88415523781732
2021-01-27,2,20.0,116.72016340822876
2021-01-28,5,22.0,128.39217974905165
2021-01-29,3,21.0,122.55617157864022
2021-01-30,1,19.0,110.88415523781732
2021-01-31,4,17.0,99.21213889699445
2021-02-01,1,16.0,93.37613072658301
2021-02-02,0,16.0,93.37613072658301
2021-02-03,2,16.0,93.37613072658301
2021-02-04,4,15.0,87.54012255617158
2021-02-05,1,13.0,75.8681062153487
2021-02-06,1,13.0,75.8681062153487
2021-02-07,2,11.0,64.19608987452582
2021-02-08,2,12.0,70.03209804493727
2021-02-09,0,12.0,70.03209804493727
2021-02-10,6,16.0,93.37613072658301
2021-02-11,4,16.0,93.37613072658301
2021-02-12,4,19.0,110.88415523781732
2021-02-13,4,22.0,128.39217974905165
2021-02-14,4,24.0,140.06419608987454
2021-02-15,11,33.0,192.58826962357747
2021-02-16,2,35.0,204.26028596440037
2021-02-17,2,31.0,180.9162532827546
2021-02-18,5,32.0,186.75226145316603
2021-02-19,9,37.0,215.93230230522323
2021-02-20,6,39.0,227.6043186460461
2021-02-21,12,47.0,274.2923840093376
2021-02-22,10,46.0,268.45637583892614
2021-02-23,14,58.0,338.48847388386343
2021-02-24,5,61.0,355.9964983950978
2021-02-25,13,69.0,402.6845637583893
2021-02-26,11,71.0,414.3565800992122
2021-02-27,21,86.0,501.8967026553837
2021-02-28,15,89.0,519.404727166618
2021-03-01,9,88.0,513.5687189962066
2021-03-02,7,81.0,472.7166618033265
2021-03-03,18,94.0,548.5847680186752
2021-03-04,10,91.0,531.0767435074409
2021-03-05,21,101.0,589.4368252115553
2021-03-06,26,106.0,618.6168660636124
2021-03-07,24,115.0,671.1409395973154
2021-03-08,22,128.0,747.0090458126641
2021-03-09,8,129.0,752.8450539830756
2021-03-10,1,112.0,653.6329150860811
2021-03-11,2,104.0,606.9448497227896
2021-03-12,12,95.0,554.4207761890867
2021-03-13,14,83.0,484.3886781441494
2021-03-14,15,74.0,431.86460461044646
2021-03-15,14,66.0,385.17653924715495
2021-03-16,9,67.0,391.01254741756634
2021-03-17,9,75.0,437.7006127808579
2021-03-18,7,80.0,466.880653632915
2021-03-19,7,75.0,437.7006127808579
2021-03-20,9,70.0,408.52057192880073
2021-03-21,7,62.0,361.8325065655092
2021-03-22,2,50.0,291.8004085205719
