,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,1,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,1.0,14.224751066856332
2020-09-08,0,1.0,14.224751066856332
2020-09-09,0,1.0,14.224751066856332
2020-09-10,0,1.0,14.224751066856332
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-18,0,0.0,0.0
2020-10-19,0,0.0,0.0
2020-10-20,2,2.0,28.449502133712663
2020-10-21,0,2.0,28.449502133712663
2020-10-22,1,3.0,42.67425320056899
2020-10-23,0,3.0,42.67425320056899
2020-10-24,0,3.0,42.67425320056899
2020-10-25,5,8.0,113.79800853485065
2020-10-26,0,8.0,113.79800853485065
2020-10-27,3,9.0,128.02275960170698
2020-10-28,4,13.0,184.9217638691323
2020-10-29,6,18.0,256.04551920341396
2020-10-30,1,19.0,270.27027027027026
2020-10-31,1,20.0,284.4950213371266
2020-11-01,9,24.0,341.3940256045519
2020-11-02,3,27.0,384.06827880512094
2020-11-03,4,28.0,398.2930298719772
2020-11-04,7,31.0,440.96728307254625
2020-11-05,1,26.0,369.8435277382646
2020-11-06,9,34.0,483.64153627311526
2020-11-07,0,33.0,469.4167852062589
2020-11-08,1,25.0,355.6187766714083
2020-11-09,3,25.0,355.6187766714083
2020-11-10,6,27.0,384.06827880512094
2020-11-11,7,27.0,384.06827880512094
2020-11-12,1,27.0,384.06827880512094
2020-11-13,6,24.0,341.3940256045519
2020-11-14,6,30.0,426.74253200568995
