,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,1,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,1.0,11.782726522917402
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,2,2.0,23.565453045834804
2020-09-11,0,2.0,23.565453045834804
2020-09-12,0,2.0,23.565453045834804
2020-09-13,0,2.0,23.565453045834804
2020-09-14,0,2.0,23.565453045834804
2020-09-15,0,2.0,23.565453045834804
2020-09-16,0,2.0,23.565453045834804
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,1,1.0,11.782726522917402
2020-09-28,0,1.0,11.782726522917402
2020-09-29,0,1.0,11.782726522917402
2020-09-30,0,1.0,11.782726522917402
2020-10-01,0,1.0,11.782726522917402
2020-10-02,0,1.0,11.782726522917402
2020-10-03,0,1.0,11.782726522917402
2020-10-04,0,0.0,0.0
2020-10-05,1,1.0,11.782726522917402
2020-10-06,0,1.0,11.782726522917402
2020-10-07,0,1.0,11.782726522917402
2020-10-08,0,1.0,11.782726522917402
2020-10-09,1,2.0,23.565453045834804
2020-10-10,0,2.0,23.565453045834804
2020-10-11,0,2.0,23.565453045834804
2020-10-12,0,1.0,11.782726522917402
2020-10-13,0,1.0,11.782726522917402
2020-10-14,0,1.0,11.782726522917402
2020-10-15,1,2.0,23.565453045834804
2020-10-16,0,1.0,11.782726522917402
2020-10-17,0,1.0,11.782726522917402
2020-10-18,0,1.0,11.782726522917402
2020-10-19,1,2.0,23.565453045834804
2020-10-20,1,3.0,35.34817956875221
2020-10-21,0,3.0,35.34817956875221
