,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,0.0,0.0
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-18,0,0.0,0.0
2020-10-19,0,0.0,0.0
2020-10-20,3,3.0,48.5201358563804
2020-10-21,2,5.0,80.86689309396733
2020-10-22,0,5.0,80.86689309396733
2020-10-23,0,5.0,80.86689309396733
2020-10-24,1,6.0,97.0402717127608
2020-10-25,0,6.0,97.0402717127608
2020-10-26,3,9.0,145.5604075691412
2020-10-27,4,10.0,161.73378618793467
2020-10-28,1,9.0,145.5604075691412
2020-10-29,1,10.0,161.73378618793467
2020-10-30,6,16.0,258.7740579006955
2020-10-31,4,19.0,307.29419375707585
2020-11-01,4,23.0,371.9877082322497
2020-11-02,5,25.0,404.3344654698367
2020-11-03,15,36.0,582.2416302765648
2020-11-04,2,37.0,598.4150088953583
2020-11-05,5,41.0,663.1085233705321
2020-11-06,7,42.0,679.2819019893255
2020-11-07,4,42.0,679.2819019893255
2020-11-08,7,45.0,727.802037845706
2020-11-09,4,44.0,711.6286592269124
2020-11-10,4,33.0,533.7214944201844
2020-11-11,5,36.0,582.2416302765648
2020-11-12,9,40.0,646.9351447517387
2020-11-13,11,44.0,711.6286592269124
2020-11-14,7,47.0,760.148795083293
2020-11-15,17,57.0,921.8825812712275
