,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,2,,
2020-09-02,1,,
2020-09-03,1,,
2020-09-04,0,8.0,24.254919200800412
2020-09-05,2,6.0,18.191189400600308
2020-09-06,1,5.0,15.159324500500258
2020-09-07,1,5.0,15.159324500500258
2020-09-08,0,6.0,18.191189400600308
2020-09-09,0,4.0,12.127459600400206
2020-09-10,1,4.0,12.127459600400206
2020-09-11,1,4.0,12.127459600400206
2020-09-12,0,5.0,15.159324500500258
2020-09-13,1,6.0,18.191189400600308
2020-09-14,1,16.0,48.509838401600824
2020-09-15,1,16.0,48.509838401600824
2020-09-16,1,22.0,66.70102780220114
2020-09-17,11,26.0,78.82848740260134
2020-09-18,1,28.0,84.89221720280145
2020-09-19,6,27.0,81.8603523027014
2020-09-20,5,29.0,87.9240821029015
2020-09-21,3,18.0,54.573568201800924
2020-09-22,0,18.0,54.573568201800924
2020-09-23,3,14.0,42.446108601400724
2020-09-24,0,10.0,30.318649001000516
2020-09-25,1,7.0,21.223054300700362
2020-09-26,2,9.0,27.286784100900462
2020-09-27,1,8.0,24.254919200800412
2020-09-28,0,9.0,27.286784100900462
2020-09-29,2,9.0,27.286784100900462
2020-09-30,2,7.0,21.223054300700362
2020-10-01,1,6.0,18.191189400600308
2020-10-02,1,7.0,21.223054300700362
2020-10-03,0,5.0,15.159324500500258
2020-10-04,0,4.0,12.127459600400206
2020-10-05,1,4.0,12.127459600400206
2020-10-06,0,4.0,12.127459600400206
2020-10-07,1,7.0,21.223054300700362
2020-10-08,1,11.0,33.35051390110057
2020-10-09,1,13.0,39.41424370130067
2020-10-10,3,13.0,39.41424370130067
2020-10-11,4,17.0,51.54170330170087
2020-10-12,3,17.0,51.54170330170087
2020-10-13,0,19.0,57.605433101900985
2020-10-14,5,18.0,54.573568201800924
2020-10-15,1,17.0,51.54170330170087
2020-10-16,3,19.0,57.605433101900985
2020-10-17,2,28.0,84.89221720280145
2020-10-18,3,29.0,87.9240821029015
2020-10-19,5,28.0,84.89221720280145
2020-10-20,9,26.0,78.82848740260134
2020-10-21,6,26.0,78.82848740260134
2020-10-22,0,34.0,103.08340660340174
2020-10-23,1,39.0,118.242731103902
2020-10-24,2,43.0,130.37019070430222
2020-10-25,11,43.0,130.37019070430222
2020-10-26,10,52.0,157.65697480520268
2020-10-27,13,60.0,181.91189400600308
2020-10-28,6,65.0,197.07121850650336
2020-10-29,9,58.0,175.848164205803
2020-10-30,9,63.0,191.00748870630326
2020-10-31,7,84.0,254.67665160840434
2020-11-01,4,98.0,297.12276020980505
2020-11-02,15,102.0,309.25021981020524
2020-11-03,34,108.0,327.4414092108056
2020-11-04,20,124.0,375.9512476124064
2020-11-05,13,145.0,439.6204105145075
2020-11-06,15,158.0,479.03465421580813
2020-11-07,23,159.0,482.06651911590814
2020-11-08,25,158.0,479.03465421580813
2020-11-09,28,182.0,551.7994118182094
2020-11-10,35,181.0,548.7675469181094
2020-11-11,19,168.0,509.3533032168087
2020-11-12,37,191.0,579.0861959191099
2020-11-13,14,185.0,560.8950065185096
2020-11-14,10,180.0,545.7356820180094
2020-11-15,48,188.0,569.9906012188097
2020-11-16,22,164.0,497.22584361640844
2020-11-17,30,164.0,497.22584361640844
2020-11-18,27,196.0,594.2455204196101
2020-11-19,13,161.0,488.13024891610826
2020-11-20,14,163.0,494.1939787163084
2020-11-21,42,177.0,536.6400873177091
2020-11-22,13,163.0,494.1939787163084
2020-11-23,24,157.0,476.0027893157081
2020-11-24,44,176.0,533.6082224176091
2020-11-25,13,157.0,476.0027893157081
2020-11-26,7,149.0,451.74787011490764
2020-11-27,33,154.0,466.9071946154079
2020-11-28,23,139.0,421.4292211139072
2020-11-29,5,133.0,403.23803171330684
2020-11-30,29,141.0,427.49295091410727
2020-12-01,29,126.0,382.0149774126065
2020-12-02,7,116.0,351.696328411606
2020-12-03,15,124.0,375.9512476124064
2020-12-04,18,112.0,339.5688688112058
2020-12-05,13,111.0,336.5370039111057
2020-12-06,13,105.0,318.3458145105054
2020-12-07,17,95.0,288.0271655095049
2020-12-08,28,86.0,260.74038140860443
2020-12-09,1,105.0,318.3458145105054
2020-12-10,5,110.0,333.50513901100567
2020-12-11,9,107.0,324.40954431070554
2020-12-12,32,93.0,281.9634357093048
2020-12-13,18,101.0,306.2183549101052
2020-12-14,14,104.0,315.31394961040536
2020-12-15,14,122.0,369.8875178122063
2020-12-16,9,102.0,309.25021981020524
2020-12-17,8,93.0,281.9634357093048
2020-12-18,27,93.0,281.9634357093048
2020-12-19,12,86.0,260.74038140860443
2020-12-20,9,78.0,236.485462207804
2020-12-21,14,79.0,239.51732710790407
2020-12-22,7,73.0,221.32613770730376
2020-12-23,1,69.0,209.19867810690354
2020-12-24,9,69.0,209.19867810690354
2020-12-25,21,57.0,172.81629930570293
2020-12-26,8,52.0,157.65697480520268
2020-12-27,9,54.0,163.7207046054028
2020-12-28,2,62.0,187.9756238062032
2020-12-29,2,86.0,260.74038140860443
2020-12-30,3,92.0,278.93157080920474
2020-12-31,17,97.0,294.090895309705
2021-01-01,45,102.0,309.25021981020524
2021-01-02,14,105.0,318.3458145105054
2021-01-03,14,125.0,378.98311251250647
2021-01-04,7,132.0,400.20616681320683
2021-01-05,5,94.0,284.99530060940486
2021-01-07,23,101.0,306.2183549101052
2021-01-08,24,119.0,360.7919231119061
2021-01-09,7,135.0,409.30176151350696
2021-01-10,21,134.0,406.26989661340696
2021-01-11,32,124.0,375.9512476124064
2021-01-12,23,122.0,369.8875178122063
2021-01-13,4,136.0,412.33362641360696
2021-01-14,13,134.0,406.26989661340696
2021-01-15,22,123.0,372.91938271230634
2021-01-16,21,110.0,333.50513901100567
2021-01-17,19,114.0,345.63259861140585
2021-01-18,21,122.0,369.8875178122063
